# No. res, res sizes (min), (max), echo values (min), (max), spectral values (min), (max), reg.,VAE (min),(max),VAE train steps,sparsity, NRMSE
3,100,100,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.4092
3,100,100,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,0.9444
3,200,10,0.6,0.1,1,1.3,0.01,200,50,2,0.1,1.0459
3,200,10,0.6,0.1,1.3,1,0.01,200,50,2,0.1,0.9134
3,200,10,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,1.4132
3,200,10,0.1,0.6,1,1.3,0.01,200,50,2,0.1,1.3168
3,200,10,0.1,0.6,1.3,1,0.01,200,50,2,0.1,0.5576
3,200,10,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,1.1563
3,200,10,0.3,0.3,1,1.3,0.01,200,50,2,0.1,0.6554
3,200,10,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.3513
3,200,10,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,1.321
3,200,10,0.6,0.1,1,1.3,0.01,200,50,2,0.1,1.363
3,200,10,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.3725
3,200,10,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,1.0363
3,200,10,0.1,0.6,1,1.3,0.01,200,50,2,0.1,0.7651
3,200,10,0.1,0.6,1.3,1,0.01,200,50,2,0.1,1.0515
3,200,10,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,0.8764
3,200,10,0.3,0.3,1,1.3,0.01,200,50,2,0.1,1.5616
3,200,10,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.523
3,200,10,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,0.9486
3,200,10,0.6,0.1,1,1.3,0.01,200,50,2,0.1,1.4381
3,200,10,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.2962
3,200,10,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,1.2134
3,200,10,0.1,0.6,1,1.3,0.01,200,50,2,0.1,0.7703
3,200,10,0.1,0.6,1.3,1,0.01,200,50,2,0.1,1.3768
3,200,10,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,0.6322
3,200,10,0.3,0.3,1,1.3,0.01,200,50,2,0.1,0.647
3,200,10,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.0202
3,200,10,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,1.3774
3,10,200,0.6,0.1,1,1.3,0.01,200,50,2,0.1,0.8528
3,10,200,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.179
3,10,200,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,1.4915
3,10,200,0.1,0.6,1,1.3,0.01,200,50,2,0.1,1.2129
3,10,200,0.1,0.6,1.3,1,0.01,200,50,2,0.1,1.4818
3,10,200,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,1.4674
3,10,200,0.3,0.3,1,1.3,0.01,200,50,2,0.1,0.9048
3,10,200,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.1202
3,10,200,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,1.3984
3,10,200,0.6,0.1,1,1.3,0.01,200,50,2,0.1,0.7582
3,10,200,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.1362
3,10,200,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,1.3508
3,10,200,0.1,0.6,1,1.3,0.01,200,50,2,0.1,1.5058
3,10,200,0.1,0.6,1.3,1,0.01,200,50,2,0.1,1.482
3,10,200,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,1.5514
3,10,200,0.3,0.3,1,1.3,0.01,200,50,2,0.1,1.0626
3,10,200,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.5108
3,10,200,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,1.2461
3,10,200,0.6,0.1,1,1.3,0.01,200,50,2,0.1,0.9132
3,10,200,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.3958
3,10,200,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,1.0317
3,10,200,0.1,0.6,1,1.3,0.01,200,50,2,0.1,1.1103
3,10,200,0.1,0.6,1.3,1,0.01,200,50,2,0.1,0.6922
3,10,200,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,1.4255
3,10,200,0.3,0.3,1,1.3,0.01,200,50,2,0.1,1.4132
3,10,200,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.2834
3,10,200,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,1.4432
3,100,100,0.6,0.1,1,1.3,0.01,200,50,2,0.1,0.8495
3,100,100,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.2976
3,100,100,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,1.2467
3,100,100,0.1,0.6,1,1.3,0.01,200,50,2,0.1,0.6079
3,100,100,0.1,0.6,1.3,1,0.01,200,50,2,0.1,0.8724
3,100,100,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,1.2917
3,100,100,0.3,0.3,1,1.3,0.01,200,50,2,0.1,1.4946
3,100,100,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.4498
3,100,100,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,1.2762
3,100,100,0.6,0.1,1,1.3,0.01,200,50,2,0.1,0.7068
3,100,100,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.2934
3,100,100,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,1.393
3,100,100,0.1,0.6,1,1.3,0.01,200,50,2,0.1,1.235
3,100,100,0.1,0.6,1.3,1,0.01,200,50,2,0.1,1.2933
3,100,100,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,0.695
3,100,100,0.3,0.3,1,1.3,0.01,200,50,2,0.1,1.4167
3,100,100,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.49
3,100,100,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,0.893
3,100,100,0.6,0.1,1,1.3,0.01,200,50,2,0.1,0.7128
3,100,100,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.5108
3,100,100,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,1.4875
3,100,100,0.1,0.6,1,1.3,0.01,200,50,2,0.1,1.5054
3,100,100,0.1,0.6,1.3,1,0.01,200,50,2,0.1,1.1161
3,100,100,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,1.0841
3,100,100,0.3,0.3,1,1.3,0.01,200,50,2,0.1,1.3936
3,100,100,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.3978
3,100,100,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,1.4397
